"family","genspe","c_m","c_sd","n_m","n_sd","p_m","p_sd","diet_cat"
"Acanthuridae","Acanthurus_nigricauda",0.275527058060645,0.0173537700451251,0.0322331052190915,0.0038618189441372,0.00432216347901707,0.00111081614670422,2
"Acanthuridae","Acanthurus_nigrofuscus",0.278284840535841,0.0168680800731998,0.0332833347949195,0.00375817913859255,0.0044536451441394,0.00108056668012542,2
"Acanthuridae","Acanthurus_nigroris",0.277712365863788,0.0169481865391918,0.0331194842860483,0.00377503714895216,0.00444158454957124,0.0010853260708876,2
"Acanthuridae","Acanthurus_nubilus",0.275736670875073,0.017320903406223,0.0323000111614148,0.00385482728796729,0.0043285692698748,0.00110880722408938,2
"Acanthuridae","Acanthurus_olivaceus",0.278057259909241,0.0169171719196142,0.0332811156072018,0.00376922366749055,0.00447010837372431,0.00108335256721274,2
"Acanthuridae","Acanthurus_polyzona",0.280306296170894,0.0165964999159867,0.0339514800037558,0.00370206619803431,0.00451015570712895,0.00106467840171635,2
"Acanthuridae","Acanthurus_pyroferus",0.275701134166088,0.0173265887917385,0.0322916114593766,0.0038560201332816,0.00432833886802108,0.00110913968095489,2
"Acanthuridae","Acanthurus_randalli",0.278750445381003,0.0168526329922717,0.0333943548593907,0.00375611852715354,0.00445525837801015,0.00108006676081876,2
"Acanthuridae","Acanthurus_reversus",0.278552553439688,0.0168852956828945,0.0334204999159109,0.00376237326256502,0.00447493599698511,0.00108156351576847,2
"Acanthuridae","Acanthurus_sohal",0.276163163992952,0.0172438254872333,0.0325321294881538,0.00383796921989019,0.00436850432380641,0.00110367137858803,2
"Acanthuridae","Acanthurus_tennentii",0.276465338841689,0.0171989950739149,0.0325982858167304,0.00382880796819671,0.00436966953871696,0.00110110581233063,2
"Acanthuridae","Acanthurus_thompsoni",0.358672684565977,0.0156104055723983,0.0635567406413338,0.00397754578279029,0.00821253427534376,0.00118555353569878,8
"Acanthuridae","Acanthurus_triostegus",0.278255657810308,0.016803227048284,0.0333862049229293,0.00374437047976331,0.00448708319076409,0.0010761381269838,2
"Acanthuridae","Acanthurus_tristis",0.278441978397092,0.016883529014762,0.033327387834202,0.00376204069168487,0.00445954229409349,0.00108158957537773,2
"Acanthuridae","Acanthurus_xanthopterus",0.276021010314442,0.0172745182938971,0.0325201707187456,0.00384452462003835,0.00437259959529652,0.0011054694100803,2
"Acanthuridae","Ctenochaetus_binotatus",0.275924002295858,0.0172925882539733,0.0323614758845214,0.00384882373521742,0.00433443331383949,0.00110708186827951,2
"Acanthuridae","Ctenochaetus_cyanocheilus",0.27672350904106,0.0171724439134418,0.0326394979000114,0.00382336176963334,0.00436379780767982,0.00109971968497514,2
"Acanthuridae","Ctenochaetus_flavicauda",0.276764424778671,0.0171664025674572,0.0326539468038179,0.00382208603519254,0.00436537606781916,0.00109934955339931,2
"Acanthuridae","Ctenochaetus_hawaiiensis",0.276652837499883,0.0171611621889953,0.0326642941671626,0.00382037977520457,0.00437750228693957,0.00109870046753998,2
"Acanthuridae","Ctenochaetus_marginatus",0.279722793029517,0.0166667991273259,0.033852276709109,0.00371612689620986,0.00453029204340602,0.00106814151562288,2
"Acanthuridae","Ctenochaetus_striatus",0.278521790524259,0.016807487416209,0.0334432063342556,0.00374494207227023,0.00448457237521499,0.00107647145110346,2
"Acanthuridae","Ctenochaetus_strigosus",0.277040658749692,0.0171249195194877,0.0327513914951747,0.00381331739968307,0.00437580414090156,0.00109681395268328,2
"Acanthuridae","Ctenochaetus_tominiensis",0.276730716605646,0.0171706467560366,0.0326425545012014,0.00382297758093943,0.00436410300276779,0.00109960866043212,2
"Acanthuridae","Ctenochaetus_truncatus",0.276764424778671,0.0171664025674572,0.0326539468038179,0.00382208603519254,0.00436537606781916,0.00109934955339931,2
"Acanthuridae","Naso_annulatus",0.314452333428324,0.0150599359415639,0.051503327850863,0.00349683350177803,0.00738714892588233,0.00105475931505684,2
"Acanthuridae","Naso_brachycentron",0.313846743484344,0.0144781798018772,0.0506189250567809,0.00336286513512729,0.00719375271102344,0.00100252536657285,2
"Acanthuridae","Naso_brevirostris",0.31566752787631,0.0131532528374297,0.0490594849831539,0.00309032761685083,0.00668965845137452,0.000894488549731317,2
"Acanthuridae","Naso_caeruleacauda",0.306556197762938,0.0135686516136487,0.0448205949969882,0.00312800504349996,0.00606653542717716,0.000898528674783336,2
"Acanthuridae","Naso_caesius",0.374739871092332,0.017391828029129,0.0698437047159097,0.00447745132038806,0.00898853055868103,0.00133580082965293,8
"Acanthuridae","Naso_elegans",0.286348697723983,0.015673445256996,0.0366541883607656,0.00350999444116436,0.00492100557171614,0.00100728749993534,2
"Acanthuridae","Naso_fageni",0.313696418043168,0.0139404764236965,0.0498586787320617,0.00324312616938604,0.00700658042357257,0.000955414798619116,2
"Acanthuridae","Naso_hexacanthus",0.372265193537421,0.0166820761706904,0.072502145893313,0.00427558958987137,0.00987077083528591,0.00129316862993201,8
