"","species","sizemax","sst","k_m","k_sd"
"4107","Cephalopholis_argus",60,25,0.065596601233982,0.0130079002880241
"4108","Cephalopholis_argus",60,26,0.0669992938502492,0.0131594285365587
"4109","Cephalopholis_argus",60,27,0.0684430074737109,0.0133702867018679
"4110","Cephalopholis_argus",60,28,0.0699291221515196,0.0136454560700664
"4111","Cephalopholis_argus",60,29,0.0714590700273382,0.0139895305870802
"4112","Cephalopholis_argus",60,30,0.0730343374927821,0.0144066309953805
"4113","Cephalopholis_boenak",30,24,0.164619240743714,0.0547798414846014
"4114","Cephalopholis_boenak",30,25,0.168193300814816,0.056009107610055
"4115","Cephalopholis_boenak",30,26,0.171872801945005,0.0573672225103517
"4116","Cephalopholis_boenak",30,27,0.175661323973042,0.0588616921369368
"4117","Cephalopholis_boenak",30,28,0.179562583237202,0.06050008274465
"4118","Cephalopholis_boenak",30,29,0.183580438274009,0.0622900172798696
"4119","Cephalopholis_cruentata",42.59999847,27,0.180177848827919,0.0244749162893405
"4120","Cephalopholis_cruentata",42.59999847,28,0.184104878704354,0.0251000042367416
"4121","Cephalopholis_cyanostigma",40,24,0.164838952587556,0.0207227047387845
"4122","Cephalopholis_cyanostigma",40,25,0.168356023105874,0.0206357788055021
"4123","Cephalopholis_cyanostigma",40,26,0.171975815133031,0.0207561067181598
"4124","Cephalopholis_cyanostigma",40,27,0.175701782956584,0.0211090837171897
"4125","Cephalopholis_cyanostigma",40,28,0.17953751126108,0.0217147561133613
"4126","Cephalopholis_cyanostigma",40,29,0.183486720512731,0.0225864534357167
"4127","Cephalopholis_cyanostigma",40,30,0.187553272583919,0.0237305710032576
"4128","Cephalopholis_fulva",41,24,0.0831619357651142,0.019881815291578
"4129","Cephalopholis_fulva",41,25,0.0849471716922863,0.0202162123156806
"4130","Cephalopholis_fulva",41,27,0.0886761450488787,0.0210962255958219
"4131","Cephalopholis_fulva",41,28,0.0906234565523209,0.0216510327308652
"4132","Cephalopholis_hemistiktos",35,24,0.145476858712551,0.0483678926631397
"4133","Cephalopholis_hemistiktos",35,27,0.155052249902661,0.0510332008843147
"4134","Cephalopholis_leopardus",24,27,0.240402941387966,0.0359979957331364
"4135","Cephalopholis_leopardus",24,28,0.245652992306685,0.036973343262917
"4136","Cephalopholis_leopardus",24,29,0.251058690724542,0.038259642053923
"4137","Cephalopholis_leopardus",24,30,0.256625347904462,0.0398688471899703
"4138","Cephalopholis_microprion",25,26,0.230344878397061,0.0320808091546328
"4139","Cephalopholis_microprion",25,27,0.235334958429207,0.0326420435461547
"4140","Cephalopholis_microprion",25,28,0.240472162443414,0.033505349400906
"4141","Cephalopholis_microprion",25,29,0.245761482791304,0.0346884753908202
"4142","Cephalopholis_microprion",25,30,0.251208101808639,0.0362030996498496
